term,theme,project,is_active,
erosao+fluvial,impactos_ambientais,mma,true,
#queimadas,impactos_ambientais,mma,true,
queimadas,impactos_ambientais,mma,true,
pantanal+chamas,impactos_ambientais,mma,true,
amazonia+chamas,impactos_ambientais,mma,true,
fogo+pantanal,impactos_ambientais,mma,true,
fogo+amazonia,impactos_ambientais,mma,true,
incendio+pantanal,impactos_ambientais,mma,true,
incendio+amazonia,impactos_ambientais,mma,true,
desertificacao,impactos_ambientais,mma,true,
animal+extincao,impactos_ambientais,mma,true,
animais+extincao,impactos_ambientais,mma,true,
especie+extincao,impactos_ambientais,mma,true,
especies+extincao,impactos_ambientais,mma,true,
“desastre natural”,impactos_ambientais,mma,true,
“desastres naturais”,impactos_ambientais,mma,true,
despoluição,impactos_ambientais,mma,true,
manancial,impactos_ambientais,mma,true,
mananciais,impactos_ambientais,mma,true,
seca+incendios,impactos_ambientais,mma,true,
#pantanalemchamas,impactos_ambientais,mma,true,
#sospantanal,impactos_ambientais,mma,true,
“sos pantanal”,impactos_ambientais,mma,true,
sosamazonia,impactos_ambientais,mma,true,
“meio ambiente”,meio_ambiente,mma,true,
#meioambiente,meio_ambiente,mma,true,
ambiental,meio_ambiente,mma,true,
ambientais,meio_ambiente,mma,true,
socioambiental,meio_ambiente,mma,true,
socioambientais,meio_ambiente,mma,true,
#diamundialdomeioambiente,meio_ambiente,mma,true,
“dia mundial do meio ambiente”,meio_ambiente,mma,true,
bioma,preservacao_ambiental,mma,true,
biodiversidade,preservacao_ambiental,mma,true,
fauna,preservacao_ambiental,mma,true,
“mata atlantica”,preservacao_ambiental,mma,true,
#mataatlantica,preservacao_ambiental,mma,true,
amazonica+bioma,preservacao_ambiental,mma,true,
amazonica+floresta,preservacao_ambiental,mma,true,
amazonica+preservacao,preservacao_ambiental,mma,true,
amazonica+fauna,preservacao_ambiental,mma,true,
amazonica+flora,preservacao_ambiental,mma,true,
amazonica+vegetacao,preservacao_ambiental,mma,true,
amazonica+animal,preservacao_ambiental,mma,true,
amazonica+animais,preservacao_ambiental,mma,true,
amazonica+espécies,preservacao_ambiental,mma,true,
amazonico+bioma,preservacao_ambiental,mma,true,
amazonico+floresta,preservacao_ambiental,mma,true,
amazonico+preservacao,preservacao_ambiental,mma,true,
amazonico+fauna,preservacao_ambiental,mma,true,
amazonico+flora,preservacao_ambiental,mma,true,
amazonico+vegetação,preservacao_ambiental,mma,true,
amazonico+animal,preservacao_ambiental,mma,true,
amazonico+animais,preservacao_ambiental,mma,true,
amazonico+especies,preservacao_ambiental,mma,true,
pampa+bioma,preservacao_ambiental,mma,true,
pampa+preservacao,preservacao_ambiental,mma,true,
pampa+fauna,preservacao_ambiental,mma,true,
pampa+flora,preservacao_ambiental,mma,true,
pampa+vegetacao,preservacao_ambiental,mma,true,
pampa+animal,preservacao_ambiental,mma,true,
pampa+animais,preservacao_ambiental,mma,true,
pampa+especies,preservacao_ambiental,mma,true,
caatinga+bioma,preservacao_ambiental,mma,true,
caatinga+preservacao,preservacao_ambiental,mma,true,
caatinga+fauna,preservacao_ambiental,mma,true,
caatinga+flora,preservacao_ambiental,mma,true,
caatinga+vegetacao,preservacao_ambiental,mma,true,
caatinga+animal,preservacao_ambiental,mma,true,
caatinga+animais,preservacao_ambiental,mma,true,
caatinga+especies,preservacao_ambiental,mma,true,
cerrado+bioma,preservacao_ambiental,mma,true,
cerrado+preservacao,preservacao_ambiental,mma,true,
cerrado+fauna,preservacao_ambiental,mma,true,
cerrado+flora,preservacao_ambiental,mma,true,
cerrado+vegetacao,preservacao_ambiental,mma,true,
cerrado+animal,preservacao_ambiental,mma,true,
cerrado+animais,preservacao_ambiental,mma,true,
cerrado+especies,preservacao_ambiental,mma,true,
cerrado+combate,preservacao_ambiental,mma,true,
amazonia+combate,preservacao_ambiental,mma,true,
pantanal+combate,preservacao_ambiental,mma,true,
pantanal+bioma,preservacao_ambiental,mma,true,
pantanal+preservacao,preservacao_ambiental,mma,true,
pantanal+fauna,preservacao_ambiental,mma,true,
pantanal+flora,preservacao_ambiental,mma,true,
pantanal+vegetacao,preservacao_ambiental,mma,true,
pantanal+animal,preservacao_ambiental,mma,true,
pantanal+animais,preservacao_ambiental,mma,true,
pantanal+especies,preservacao_ambiental,mma,true,
florestais,preservacao_ambiental,mma,true,
florestas,preservacao_ambiental,mma,true,
“vegetacao nativa”,preservacao_ambiental,mma,true,
“vegetacoes nativas”,preservacao_ambiental,mma,true,
“mata ciliar”,preservacao_ambiental,mma,true,
“area de protecao permanente”,preservacao_ambiental,mma,true,
“unidades de conservacao”,preservacao_ambiental,mma,true,
reflorestamento,preservacao_ambiental,mma,true,
reflorestar,preservacao_ambiental,mma,true,
antiambiental,preservacao_ambiental,mma,true,
antiambientais,preservacao_ambiental,mma,true,
ecossistema+planeta,preservacao_ambiental,mma,true,
ecossistema+terra,preservacao_ambiental,mma,true,
ecossistema+preservacao,preservacao_ambiental,mma,true,
despoluicao,preservacao_ambiental,mma,true,
“tráfico de animais”,preservacao_ambiental,mma,true,
"""recursos hidricos""",recursos_hidricos,mma,true,
"""crise hidrica""",recursos_hidricos,mma,true,
estiagem,recursos_hidricos,mma,true,
estiagens,recursos_hidricos,mma,true,
falta+agua,recursos_hidricos,mma,true,
"""seca severa""",recursos_hidricos,mma,true,
água+desabastecimento,recursos_hidricos,mma,true,
"""dia mundial da agua""",recursos_hidricos,mma,true,
#diamundialdaagua,recursos_hidricos,mma,true,
desmatamento,desmatamento,mma,true,0
#desmatamento,desmatamento,mma,true,0
desmatada,desmatamento,mma,true,0
desmatar,desmatamento,mma,true,0
desmataram,desmatamento,mma,true,0
desmatado,desmatamento,mma,true,0
desmatam,desmatamento,mma,true,0
desmate,desmatamento,mma,true,0
incendios,impactos_ambientais,mma,true,0
